article_id,essay,emotion
270,"Wow, this is tragic. I really hope that China will improve their safety standards, but I know this is a big problem all over in developing countries. Remember when that factory burned down in Bangladesh? And we can't pretend this isn't our problem too, when we support them economically. If we buy products created in unsafe working conditions, we have a hand in those deaths too.",sadness
335,A man has took it on himself to kill evasive mice that have doubled in size on an island. The mice feed on birds and when the birds have babies its like a buffet for them to thrive on. I imagine it must be disgusting to have so many mice doing what they please and destroying other animals. It gives me the creeps thinking about it.,disgust
181,"This always makes me mad guys, that the cops think they can shoot because of color. Its absolutely ridiculous! Of course, the cop isn't being charged for murder, and predijuce still stands in this country. It is extremely sad that the world has to come to this.. just killing off anybody because they think they're above the law.",sadness
286,"I thinj it is our responsibility as a first world country to be providing assisstance to these area in brazil and Columbia. Zika Virus could prove to be an epidemic and that is a global issue, not just a country. Giving them access to proper medical training to spread better health practices and health education to the population could be the most effective thing to preventing more spread of the virus",neutral
25,"If you are using trumps name to make him look bad is not the answer here. I know that trump is not being a good president right now but lets not discredit his success. Somebody burned a church that is not related to Donald Trump at all, lots of Families go to that church. I think someone used this attack as an attack to Donald Trump because he is not affiliated with this and makes people look like he caused this",disgust
406,"It would appear to me, in my opinion, the liberal, nonsensical, mainstream media is at it again. Let's use fear-mongering and misinformation to stir up a demographic in our all out effort against Donald Trump. I feel for those who don't read the actual proposals and/or legislation but instead decide to believe every word uttered by the talking head on TV.",anger
8,"What an unfortunate situation--and a total shame that regulations on these conditions aren't more thorough. Of course the reputation of the kennel should be considered suspect now. The article says that the business will remain open, but I think it would be best to close up shop. After a news piece like this, I don't think many owners will be bringing their pets to stay.",sadness
225,Its crazy that really intense and sad situations are happening around the world but here in USA were worried more about who made it passed the first round of the Voice or whats the latest viral videos. The fact the extremists are using innocent civilians as human shields is so cowardly and shows they have no honor what so ever.,disgust
100,"It is extremely upsetting that there is a cultural war going on and no one seems to care. The values of muslims in general are not compatible with western culture. Further more, it is an ideology that promotes violence and terrorism. Until people become less tolerant of this disgusting dogma, things like this will continue to happen. If muslims want to be viewed in a better light in the west, they need to work on reforming their religion from within.",sadness
284,This is so disturbing. It says that they are killing chickens that are still awake during it. It's like they like torturing them. Why can't we be like Europe? In Europe they have rules on how this is supposed to be done. No we just let companies do whatever they like. How hard it is to kill something and make sure it's not awake while doing so?,disgust
387,These home grown terrorists are becoming more and more of a problem. How do we monitor better people who are already in this country? Stopping immigration is not going to solve this problem. It is the people right here in our own country who are killing each other. That problem has to be solved!!! How do we keep tabs on people and catch them before they kill their fellow citizens?,anger
118,"Wow - this is so so horrible! I can't even begin to understand why Syria would attack its own citizens, and why would Russia support them in doing so? This is a sick regime and I am glad that America and its allies are interfering. The fact that they are denying doing it is truly messed up. I hope these poor children who survived are able to get the healthcare they so desperately deserved. Could you guys imagine if this was happening here??",disgust
307,"Thomas referred the case to the full court, and shortly before midnight, the justices issued an order granting Arthur’s stay request. The order included a statement from Chief Justice John G. Roberts Jr. explaining that while he did not believe this case merited a review from the Supreme Court, he had decided to vote for a stay anyway as a courtesy to his colleagues. Roberts wrote that four of the other justices had voted in favor of staying the execution. While it takes five justices to overturn a lower court ruling, it takes only four to accept a case. “To afford them the opportunity to more fully consider the suitability of this case for review, including these circumstances, I vote to grant the stay as a courtesy,” he wrote. Justices Thomas and Samuel Alito would have rejected the requ",neutral
136,This story left me feeling pretty confused. It was so short and didn't provide a lot of answers at all. I was left wondering why France wanted to dismantle the camp and why the refugees were so angry and against the move. What was really going on here? Were there some other issues that had nothing to do with humanitarian considerations? It seems like there's usually more to the story with refugee stories.,surprise
278,The Russians are always being provocative and trying to show force especially against the United States. There dangerous ways almost cost one of there pilots his life. This is yet another attempt from Russia to yet further distance themselves from NATO and to show they fully support the murderous Assad regime.,neutral
157,"Sadly this has become common in our society. Blacks are killed by police, and nothing seems to make a difference or matter. I can guarantee that if it was a black cop killing a while person, the outcomes would be entirely different. I dont blame the black community for their anger and dissapointment. I'm angry and dissapointed I cant imagine how they must feel.",sadness
401,"If we think we have it bad having to put up with Trump, think about how Mexico feels. This article puts a lot in perspective, but I really struggle with the quote by the Mexican foreign minister saying that Americans chose racism and hate. Don't group us all in one category. We didn't ALL choose this clown to be president. I understand their fears and stress, but that comment really just rubbed me the wrong way. Hopefully both countries can maintain their ties until he's out of office.",sadness
307,"Dear friend,  I have just finished reading a very interesting and somewhat disturbing article. It was about Thomas Arthur, an inmate on death row in Alabama. There began a massive legal battle between the courts, justices, and lawyers about the legality and morality of lethal injection practices. I feel conflicted because on one hand, these people committed unthinkable crimes and deserve severe punishment, but on the other hand, taking a life may still not be justifiable.",sadness
405,"This is horrifying. You're just going about your business, then someone takes issue with you, and suddenly you're dead. Maybe you didn't even interact with them and they just decided to kill you for fun. It's deeply troubling and makes you suspicious of every stranger on the street. I also feel bad for those who had to witness this and didn't have time to do anything to stop it. I'd imagine some feel guilty even though they couldn't have helped.",fear
13,"It is really sad the way that people only see one side of the story of the Afghan war.  We only see things from our side of the pond, and we see the good , but not all of the bad that we do, as a country.  We tend to think of things, in generalities, and lump groups of people who live in a common area, into one pile of terrorists.  There are plenty of people in Afghanistan who are against eh taliban, and we dont see the damage that we are doing by hitting them with drone strikes.  Most casualties in wars are civilians , who had nothing to do with the conflict itself.  There are always conflicting stories about the death tolls.  I believe it is used to de-escalate our fears that , we, as a country, are doing something that could actually turn out to be very harmful instead of helpful",sadness
326,"I don't think that it is fair to compare President Trump to Nazi Germany or the holocaust.  I am not a fan of President Trump by any means, but I also have not once thought about comparing him to such a horrific part of the history of this world.  Jews should not be worried that there will be another holocaust or that they will have to go back into concentration camps.  I don't think the country would ever let that happen again, and I don't think that Donald Trump would go down that road either. He has a tendency to act like a child, but that would be a far stretch, even for him.",anger
36,"very bad act abut killing that happened Now that you have read the first article, please write a message to a friend or friends about your feelings and thoughts regarding the article you just read. This could be a private message to a friend or something you would post on social media. Please do not identify your intended friend(s) - just write your thoughts about the article as if you were communicating with them Now that you have read the first article, please write a message to a friend or friends about your feelings and thoughts regarding the article you just read. This could be a private message to a friend or something you would post on social media. Please do not identify your intended friend(s) - just write your thoughts about the article as if you were communicating with them ....",neutral
399,"This is so sad, but I think it had a lot to do with a bunch of college kids drinking and partying, and then something going terribly wrong.  I think there was a group of kids that started arguing with the guy and one got pretty riled up and hit the guy.  I find it interesting that there were things that were not being commented on.  I think there's a lot more to this story than what the school is reporting.",sadness
30,"Those of you who smoke should quit. Once we quit, we're often surprised at the changes in attitude we experience regarding smoking, and life in general. When we quit and win our freedom from addiction, our mindset changes. After I quit I came to realize how much I really don't like it! I think I care more about myself now:  My health, I stand up for myself when appropriate, I feel like there are more possibilities out there now without my smoking monkey on my back.",surprise
107,Hey just wanted to write you a note and see if you have been watching the news. They are reporting finding a mass grave near mosul of 100 dead bodies most of them decapitated and some thirty three thousand people that is displaced . that is terrible. We need to do something. The US is setting up service centers families which is a great idea.,sadness
392,"Well, this is frustrating. Not only will the new law not really help, but it doesn't sound like anything will help. It's a good point, about having to get the fishers on board with saving the paquita, but I don't know how to convince them. If it came down to feeding my family or saving a handful of dolphins that are probably going to die out anyway, there's a good chance I'd pick my family.  The story's a year or two old -- so once I've finished doing what I'm doing, I'm going to look up the paquita and see what's happened since then.",sadness
271,Of course I only know what I read in the article.  It sounds like it could be the ex police officer was trying to protect himself.  The son was already arrested for assaulted the father. I believe the police will investigate the shooting and take the necessary actions. I don't think the police will look the other way just because he is an ex police officer.,neutral
360,"Just read an article that explored Trump's appeal and why he won the election.  It indicated that Trump had a simple appeal to the darker side of people, the look out for myself and not others side, it explored Trump's ability to partner with those that are hurting and feel left out of society through lack of jobs, etc.  He used this association to promote his agenda, with simple phrases that were easy to remember, and tailored it to the good old boy network.  The article didn't really explore Russia's influence on the election, only addressed Trump's appeal to certain groups.",neutral
317,The disgust I have while reading this story. No one should send there child to school  to learn and have to worry about sexual assault in any form. She makes other teachers look bad. Taking a plea deal was her best choice. There is never an acceptable reason for something like this to happen. The fact she had a young daughter too is scary.,disgust
78,"Hey D,  I read this article about this boy who was abused and went through stuff with his family. I feel like I can really relate to him, having a mother who had their own addictions.  I always knew people like him always come out on top because he went through so much to get the success that he is having today. I wanted to show this to you so that you don't give up either, no matter how hard the circumstances are. Love, A.",sadness
248,"It aggravates me that in our modern society leaders are condemned before they even have an opportunity to lead. It will happen forevermore into the future no matter who wins elections from here on out. The issue is not opposition so much as it is the ability to organize against someone anymore. Using the internet, it is quite easy to gather a group of thousands and perhaps even hundreds of thousands to combat against something vile or unwarranted. The problem is Trump wasn't even given a chance. Now that things have played out, perhaps some of those people were right about their hatred or grievances but its entirely unfair to subject any president of our country to this before they have even been given the chance to lead.",anger
119,"I think the wraparound glasses are a great idea. I don't care how ridiculous they look. If I had to choose whether or not my kid was worried about fashion or protecting his eyes, eye protection would win every time. Ugh, can you imagine the possibility of losing your eyesight, or possibly even the whole eye, just because you didn't want to look silly? Nope, wraparound glasses all the way!",joy
240,"I would feel absolutely horrible to be in any of these parents shoes, I feel like they probably think they are completely lost, anxious, deserted. I would be a complete mess. I dont know exactly what i would do in that situation. I feel like the chaces are good neough for them to try for that second baby but i do inderstand them not wanting to rry because of the small chances of the other one having the zika virus anyways.",sadness
351,"The officer whose car had been hit approached Ms Rader to find she had an ""unclasped brassiere"" and was trying to put on her blouse, police said.The freshman told the officer that she had been driving back to her residence on campus.The arresting officer wrote in an affidavit: ""I asked her why she was not dressed while driving and she stated she was taking a Snapchat photo to send to her boyfriend while she was at a red light.""She was arrested on suspicion of driving while intoxicated and released from jail on Thursday morning on a $2,000 (£1,600) bail bond, police said.",neutral
294,"While reading the article, I did not really care too much about the protests made by people in South Korea against their President mainly because it is in South Korea and not here in America. Although I didn't really have much concern for the article I just read, I hope that these protests will end in South Korea.",sadness
328,"It was sort of sadly ironic to see the part in there about ""we don't think he'll win"" considering what followed. All of it, sadly, still rings true, day after day. There's been no apology, only a doubling down on the kind of bile, arrogance, and ignorance that was on display since day one. I feel bad for every woman in the country who has to live with someone like that as their president.",sadness
277,"The war in Syria is one in which the US needs to get out of. We have no reason to be involved there, and staying involved will just risk the war expanding and making the region worse off. We need to get out, like, yesterday. Also, we are wasting billions on this that could be used for universal healthcare and increasing the minimum wage.",neutral
64,"Hello, how are you doing meN? Remember that chat we had a week ago about Haiti? I was just reading an article about it, never thought things could have been so bad, they are even worse than what I imagine worst than what we talked about. I find it funny how we are so enclosed in our small little world, while in Chicago we are celebrating about CUBS victory in over 100 years, in Haiti, they are suffering for water and food.",surprise
216,"Michael Moore to Democrats: I told you Trump was going to win — On Wednesday, filmmaker and activist Michael Moore penned a ""Morning After To-Do List"" for Democrats that has, as of Thursday morning, been shared more than 180,000 times, liked more than 350,000 times, and commented on more than 18,000 times. Moore also says Democrats must fire the pundits, pollsters, and members of the media who refused to let go of a narrative about the election that proved to be incorrect, force aside any Democratic members of Congress who aren't ready to fight, and remind everyone they meet that Hillary Clinton won the popular vote. His No. 4 item, however, might come as a surprise to Democrats who are posting their own status updates on social media about how ""shocked"" or ""stunned"" they are at this outco",neutral
305,A Russian twelve year old left for school one morning. Her mother went looking for her when she didn't return home. When she called her cell phone she was told that her daughter had committed suicide as a part of some social group that takes their own lives. It's sad to see kids seeking attention in this light.,sadness
197,I did not know much about Cohen before I read the article about his death. I heard the Jeff Buckley song of course because it appears in Shrek. I also think that the Irish girl did a cover of Bird on a Wire that I like. He did a lot of work and was an influence over much of the music scene. It was sad he got ripped off and had to work so hard to re-earn his fortune. It is an informative article and worth a read if you don't know much about him.,sadness
116,"With the ever-growing lack of medical clinics and equipment in 3rd world countries, more outbreaks will eventually start and can affect millions of people. This article for example, showed that cholera outbreak in Haiti, Millions has been affected and people are dying but we don't have the resources to help them.",sadness
133,"Seriously, what's wrong with this guy! Who throws an animal to the ground for no reason.  What a jerk. I hope the judge throws the book at him. He doesn't necessarily deserve jail time, but I'm thinking a hefty fine as well as many hours of community service.  Sea World should file a restraining order from this guy as well.",anger
320,"It's a shame that we have so many random acts of violence in this country.  It seems every other week we have some massacre involving either guns, a right wing extremist or a muslim extremist.  I think what they have in common are either mentally ill people or people who are extremist in their world views and religion.",disgust
61,"Hello, I thought this behavior was a thing of the past, but read this article, it is rather enlightening. I often think here in the US there is a great divide on how racial issues are dealt with, and the US is not the only one. There are many racial problems in other countries and that makes me feel hopeless for the future. If we can't fix the issues here in America, how can we critizice other countries?",surprise
337,"What would we do without friends? Have you ever given it a thought? Friends are there, right by your side, through thick and thin, adding the right flavors to your life -- cheering you up when you're down, laughing with you till you're both on the floor clutching your stomachs, holding your hand when you're not strong enough to face the world... When you are blessed with true friends you can always count on, you can bravely face any storm and tackle obstacles with a smile.",neutral
99,"I feel very sorry for their entire family regarding the divorce.  Even though the daughters are now adults that doesn't mean they aren't negatively affected.  Twenty-seven years is a long time to be married, and I think this translates to a long period of healing for the parents.  Its not a good situation.  I also wonder about the impact of the divorce on the daughters' image of the security of marriage for their own lives.  It seems that the parents did try for a long time.  I wish them well.",sadness
354,"This story specifically doesn't make me feel anything, since I don't know these people and I feel like if I tried to have emotions for every victim of a crime I read about that would just require too much mental effort. In a broader sense however, I feel frustrated and tired of having to deal with men committing acts of violence against women constantly simply because they can, especially in cases like this where there didn't seem to be much prior warning. It's irritating because it is such an awful trend, so it makes me feel sort of disgusted with the state of the world in that way.",anger
131,"Wow, it is pretty sad to see a happy family be devestated by a preventable cause. I send my prayers out to whomever was in immediate relations with the family. This makes me be more grateful for everyday life because i really don't know when my last day will be. I hope the fire department workers are emotionally well, because i know it can be distressful to see these thinga happen",sadness
253,i feel like we need to do somthing about this problem that is going on we dont need moms overdoseing on drugs plus doing it while they are driving. maybe there is a program we could start to help these mom in need and the kids that they have should be taken care by someone else while they are getting the help that they need to get better and then they can get there kids back when they are able to take care of them,sadness
302,"Lung cancer is one of the most dangerous and strong illnes. It is scary to think that someone might be carrying that kind of desease just because of them having a hard time letting go of smoking. Also, thinking that even the non-smoking people can get sick and worst they can even have cancer too. Just thinking how things worked regarding cancer is traumatising me.",fear
270,"This whole story of all the thirty three miners found dead is an unfortunate tragedy. Their loss is really going to affect their family, friends, and co workers for the company that they work for to. These type of losses could have been avoided if they received more help or they could have trained them more for incase any unexpected events that could occur like this one for example.",sadness
214,Michael Buble's three year old son has cancer. This is so horrible and sad. I can't imagine what they are feeling right now. My uncle died of prostate cancer and I know nothing will ever be the same. Cancer on such a young  boy seems so cruel if there is a God out there. I am really hoping their son pulls through and they keep on fighting together as a family.,sadness
392,"Wow. So sad to see yet another species on the way to extinction. It's crazy to think that there's only 60 of one species left in the world. I know that it was the same way with the white rhino - it was like we knew it was coming, but we were completely unable to stop it, because it was just too late. I wonder if they could keep them in captivity.",sadness
185,"This article highlights the fact that we might be going on about our lives, secure in the knowledge that everything is fine, but then suddenly when you least expect it, we are reminded of our own mortality. It makes me want to live each and every day as well as I can, because I never know if it might be my last. Sometimes we think we have forever, but this article is a reminder that each day we live on this Earth, imperfect though it may be, is a gift.",sadness
158,"This is just more violent nonsense from the outrageous middle east.  Honestly, I dont care any longer.  All these people clutching to one religion or another (often just as a mask for their rage) and killing each other out of tribal animus.  It hasnt changed, well, ever.  I dont expect it to change now.  Its hopeless because people are just ignorant, solipsistic apes.  I just cant care any longer about these idiots.  Its horrible and tragic but it's all so preventable.",anger
80,"I feel that these Muslim areas are in dire need of help. I feel so very sad and alarmed for them, as I know the citizens are helpless and don't know who to turn to for help. It can't be easy to live in an area where you never know if you will wake up to your village being raided, your women being raped and worry of your child being dragged into Military or political rebels groups. Many people in America do not realize how much freedom, safety and peace we have by living in this country, as we have never experienced the peril that people in these Muslim countries experience. I'm sure many live in terror and fear of the unknown, of what could be, and actually the reality of their life. There are many poor villages and citizens, so they don't have options to find a way out of there.",sadness
364,I didn't realize there are still a lot of Hatians who are suffering badly since the quakes years ago.  It seems a large amount of them have made their way to Brazil and central America to try to get work and get a better life.  This has turned out badly for a lot of them.  They have been victimized and injured and killed by gangs and terrible conditions on their way to try to get to  America.  When they do make it they are often given a court date to appear at some future date.  Because of immigration policies many of them are suffering.,surprise
323,"This article was quite interesting to me. It talked about the invention of a new male contraceptive. It talks about the potential side effects that steer men away from using the contraceptive. The writer of the article mocks men for avoiding these contraceptives when female contraceptives have way more side effects to them. I personally disagree with the writer - if male contraceptives were invented before female contraceptives, I believe that males would have no problem using them despite the side effects. What are your thoughts?",neutral
93,"Gosh, the emotions I felt while reading that. Being a nurse, I would be so scared of such a mass emergency and worrying about it people would make it or not. It disgusts me that innocent people would be used as human shields. How could someone do that to someone else? And they purposely brought them into the center of the city with the intention of using them as human shields.",disgust
353,"Oh my gosh this is so awful. I feel so bad for this man and his family, as well as the mother of the child. Could you imagine getting hurt, nearly being rescued, and then the helicopter failing too? Talk about terrible luck. I hope they start a gofundme for this man and his family - we should all donate if they do.",disgust
299,We should protect our environment from now on. I think a lot of wild animals have been put into danger because of human beings. People have put too much plastics into the oceans and pollute the living society of wild animals. It was danger to them if there is plastic around. I wish people will do a better jobs.,anger
389,"It seems like Paris is getting to be a very dangerous place.  I know who Kardashian is, but I have never heard of this Sherawat. It sounds like she is par for the course in Hollywood, just another Obama and Hillary supporter.  But still, its terrible to be tear gassed and beaten, and I feel sorry for her.",fear
38,Please hug your loved ones because they may be gone at any moments of time. If you were in an argument with any of them please reconsider what has happened in the past and let it go. Life is short and we all have only one life to live on this planet. We should all cherish each other and enjoy life to the fullest.,joy
310,"Since you moved to Anchorage, I’m sure you’ve been aware of all the unsolved homicides that have occurred. Just wanted to say “stay safe”. Hopefully, that guy that shot at the police officer the other day and whose gun they say was used in some of those unsolved cases, was the killer. If so, his reign of terror is over. How sad that those people died for what appears to be just being in the wrong place at the wrong time. I just don’t understand how someone can take the life of another unless their own life is being threatened. Who knows though? The killer could be mentally ill and think that perfect strangers ARE threatening them! Anyway, keep your eyes open and be careful!",sadness
204,Another article I read showing a death of African American driver by a police. I really upset me reading this article. That unnecessary force was used to handle the situation. Its crazy that the first thing on the police mind is to shoot to kill. I feel uneasy every time seeing and reading about situation like this where a situation could of been handled in a different way. Understandable that they work in a high intense environment but that why they train and follow protocol.,disgust
71,"It's very unfortunate for both the wildlife and the communities that survive off of the meat that the rare animals provide. It's also sad how the police officers ran away which was I guess the main point of the person telling the story. That is very corrupt and wrong, they should have stood up for the Rangers being targeted. I think it's best if the wildlife is preserved and the community that attacked the Rangers were clearly out of line.",sadness
104,The situation in Delhi is very much a product of a 3rd world country trying to modernize. the use of fossil fuels and lack of sanitation has led to this country having intense smog problems. This has reached the point where it is harmful to children everyday even in school. Idk when this issue will be resolved but soemoen has to interevene.,sadness
260,"Getting old is sad. I hope they pull through. But, many people never reach 86. So, I can't feel too bad for them. They also probably lived a life many of us can only dream about. This might sound wrong, but I will probably forget about this in 5 minutes. Life goes on. I've already spent more time thinking about them than they will ever think about me.",sadness
44,"This story about the shooting at the airport is absolutely breaking my heart.  There is no reason for these violent gun actions to continue to go on.  Can you imagine if this had been our dad or other friend or family member?  I can not imagine what the victims family is going through right now.  The poor people in the airport must have been in a frenzy.  It had to have been scary to not know what was going on.  Especially before everyone knew the gunman was dead.  This one cowards acts caused so much turmoil and upheaval for so many people.  Can you imagine all of the money that was wasted because of his stupid choices.  Between flights being cancelled, rearranged, police officers time.  I wish we could understand what he was thinking and why he did this mess.",anger
213,I am not sure if you saw that Fernandez is dead. That is really going to impact the Marlins. I didn't know all that he went through as a child to get to America. It is sad when someone with such light and hope is killed either in an accident or by some jealous fan. I know he was really important to a lot of people. I am glad they decided to cancel the Braves game. Nobody is really going to be focused enough to play anyway.,sadness
187,"I just read an article about Kesha and how she was pressured into losing weight by not eating and ""dumbing down"" the content of her songs. It's pretty messed up that this is what goes on in the entertainment/music industry. At the same time though, she is an adult and she had the choice to go along with this or not. She cashed in and got a lot of fame. I can't say I really feel that sorry for her. If it was me I would have just said, ""no"" and moved on. She had the ability to speak up, but she didn't because she wanted fame.",sadness
263,"We are only given one life. I think that everyone wants to live a long and fruitful life. I know that sometimes we all have to do things that we do not want to do. There are certain procedures or policies that we need to follow to be able to maintain a certain life, and lifestyle. I know I don't really enjoy going to the doctor.",neutral
40,"Kind of cool that researchers  have found that bonobos tend to become farsighted as they age, which is quite similar to humans. They also observed their grooming practices. Some even take turns grooming one another, which is pretty cool. The article was extremely hard to read and understand, especially with it being written in one giant block, so those are really the only key points I got from it.",joy
382,It seems that a lawsuit is now pending for the Sawtooth National Recreation Area.  Exessive grazing from the cattle has occured in this area and it seems to be threatening the wildlife in the area.  Protective measures have been put in place over the years but there have no been serious consequences for parties that do not comply.,neutral
196,"Cohen moved to New York in 1966 at age 31 to break into the music business. Before long, critics were comparing him with Bob Dylan for the lyrical force of his songwriting. Although he influenced many musicians and won many honors, including induction into the Rock & Roll Hall of Fame and the Order of Canada, Cohen rarely made the pop music charts with his sometimes moody folk-rock. His most ardent admirers compared his works to spiritual prophecy. He sang about religion, with references to Jesus Christ and Jewish traditions, as well as love and sex, political upheaval, regret and what he once called the search for “a kind of balance in the chaos of existence.",joy
217,"It's no surprise that they're finally learning just how traumatic middle school can be--for everyone involved. Looking back, I can say that the person I was in middle school is almost like a stranger to me know. I was completely different before and after middle school, and during those three years themselves it was like I was someone I'd never met. God bless the mothers who stick with us throughout it all.",sadness
